advertiser-role,available,brand,days-old,early-bird,id,neighbourhood,postcode,price-per-month,price-per-week,property-type,property-type-more,rooms-in-property,scp,status,title,type,error,date scraped
current flatmate,Available Now,free,9,,14485543,Shoreditch,E1,£650pcm,£150pw,flat,,3,,,Short Sublet: Beautiful Room Near Liverpool St,offered,False,2020-01-27 02:47:34.811272
current flatmate, 6 Feb,free,9,,13368355,Borough,SE1,£633pcm,£147pw,flat,,3,,,Double room available in zone 1 (L.Bridge/Borough),offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,9,,9768238,Borough,SE1,£650pcm,£150pw,flat,,3,,,One room to rent near Borough,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,10,,505880,London N1,N1,£564- £650pcm,£130- £150pw,flat,,3,,,Fully Furnished Double & Single room All Inclusive,offered,False,2020-01-27 02:47:34.811272
current flatmate,20 Feb,free,12,,14388289,Vauxhall,SW8,£660pcm,£153pw,flat,,2,,, Beautiful double bedroom available ,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,14,,14447926,Borough,SE1,£650pcm,£150pw,flat,,3,,,Cosy room near London Bridge/Borough Market,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,14,,13582147,London W1,W1,£650pcm,£150pw,property,,4,,,Double room W1,offered,False,2020-01-27 02:47:34.811272
former flatmate,Available Now,free,17,,12828772,Vauxhall,SW8,£542- £780pcm,£125- £180pw,flat,,3,,,Bright Double Room 5 min walk from Vauxhall ,offered,False,2020-01-27 02:47:34.811272
live in landlord, 1 Feb,free,18,,14328940,Elephant and Castle,SE17,£650pcm,£150pw,flat,,2,,,Double bedroom (Mon-Fri),offered,False,2020-01-27 02:47:34.811272
current flatmate,Available Now,free,20,,13471348,Elephant and Castle,SE17,£650- £750pcm,£150- £174pw,flat,,5,,,3 Double Rooms Available in Flatshare - Elephant,offered,False,2020-01-27 02:47:34.811272
live in landlord,Available Now,free,20,,7683349,St Pancras,NW1,£660pcm,£153pw,flat,,3,,,2 Single room for rent,offered,False,2020-01-27 02:47:34.811272
